status,number_of_stories,age,ff_elevation,wc_encoded,roof_encoded
1.0,1.0,48.0,0.0,1.0,0.0
1.0,1.0,26.0,0.0,1.0,10.0
0.0,1.0,49.0,0.0,1.0,10.0
0.0,1.0,46.0,0.0,1.0,13.0
1.0,1.0,58.0,2.25,7.0,14.0
1.0,1.0,58.0,8.0,44.0,5.0
1.0,1.0,48.0,3.0,15.0,22.0
1.0,2.0,9.0,8.0,1.0,14.0
1.0,1.0,52.0,9.0,15.0,22.0
1.0,1.0,12.0,0.0,1.0,14.0
1.0,1.0,59.0,0.0,1.0,14.0
0.0,1.0,3.0,1.0,1.0,5.0
1.0,1.0,18.0,8.0,15.0,14.0
1.0,1.0,30.0,8.0,41.0,17.0
2.0,1.0,66.6,0.0,20.0,17.0
3.0,1.0,58.0,0.0,44.0,14.0
1.0,1.0,25.0,0.0,1.0,0.0
1.0,1.0,51.0,2.25,115.0,5.0
2.0,1.0,19.0,8.0,15.0,22.0
1.0,1.0,35.0,8.0,15.0,14.0
1.0,1.0,48.0,3.5,15.0,14.0
1.0,1.0,46.0,0.0,1744.0,6.0
1.0,2.0,39.0,0.0,141.0,6.0
4.0,1.0,45.0,0.0,15.0,14.0
3.0,1.0,37.0,8.0,1.0,0.0
4.0,1.0,40.0,8.0,15.0,2214.0
2.0,1.0,87.0,0.0,7.0,22.0
2.0,1.0,48.0,1.0,1.0,0.0
1.0,1.0,64.0,0.0,15.0,6.0
2.0,1.0,4.0,0.0,15.0,14.0
1.0,2.0,37.0,0.0,7.0,10.0
0.0,2.0,27.0,0.0,21.0,22.0
1.0,2.0,30.0,0.0,1.0,0.0
0.0,2.0,30.0,0.0,21.0,0.0
0.0,2.0,8.0,2.0,1.0,13.0
0.0,2.0,1.0,0.0,1.0,10.0
0.0,2.0,10.0,1.0,1.0,13.0
1.0,1.0,23.0,0.0,1.0,13.0
0.0,1.0,40.0,0.0,1.0,13.0
1.0,1.0,41.0,0.0,1.0,13.0
0.0,2.0,6.0,1.0,1.0,13.0
1.0,2.0,27.0,0.0,1.0,17.0
0.0,1.0,40.0,1.0,1.0,0.0
1.0,2.0,12.0,2.0,1.0,0.0
2.0,1.0,40.0,0.0,44.0,0.0
2.0,1.0,42.0,0.0,1.0,13.0
2.0,1.0,42.0,0.0,1.0,13.0
2.0,1.0,43.0,0.0,1.0,10.0
1.0,3.0,32.0,0.0,21.0,0.0
1.0,2.0,29.0,3.0,7.0,14.0
0.0,7.0,51.0,0.0,21.0,17.0
0.0,2.0,25.0,0.0,7.0,14.0
2.0,1.0,51.0,0.0,20.0,22.0
1.0,2.0,36.0,8.0,15.0,0.0
1.0,2.0,46.0,8.0,44.0,14.0
0.0,2.0,50.0,8.0,7.0,22.0
1.0,1.0,45.0,8.0,15.0,23.0
2.0,1.0,38.0,2.0,7.0,22.0
0.0,2.0,42.0,8.0,15.0,22.0
0.0,2.0,52.0,0.0,1.0,22.0
1.0,1.0,42.0,0.0,1.0,0.0
1.0,1.0,35.0,0.0,15.0,14.0
1.0,1.0,47.0,0.0,121.0,0.0
2.0,1.0,47.0,0.0,1.0,0.0
0.0,1.0,40.0,0.0,1.0,14.0
1.0,2.0,41.0,2.0,1.0,10.0
0.0,2.0,6.0,2.0,1.0,13.0
1.0,2.0,8.0,1.0,1.0,10.0
2.0,1.0,63.0,2.0,44.0,14.0
1.0,1.0,55.0,3.0,15.0,14.0
0.0,1.0,92.0,2.0,15.0,14.0
0.0,1.0,23.2,0.0,15.0,14.0
4.0,1.0,68.0,2.0,15.0,14.0
1.0,1.0,25.0,2.0,21.0,22.0
1.0,1.0,10.0,0.0,1.0,0.0
1.0,1.0,10.0,0.0,1.0,0.0
0.0,1.0,60.0,0.0,15.0,14.0
0.0,1.0,23.0,0.0,15.0,14.0
0.0,1.0,32.0,2.0,41.0,14.0
0.0,1.0,13.0,8.0,15.0,14.0
2.0,1.0,10.0,12.0,15.0,22.0
0.0,1.0,77.0,2.0,15.0,14.0
1.0,1.0,23.0,2.0,15.0,22.0
1.0,1.0,10.0,10.0,15.0,22.0
2.0,1.0,11.0,0.0,41.0,14.0
1.0,1.0,92.0,0.0,44.0,14.0
1.0,1.0,40.0,0.0,1.0,22.0
1.0,1.0,16.0,2.0,1.0,22.0
1.0,1.0,15.0,0.0,15.0,0.0
0.0,1.0,34.0,0.0,1.0,14.0
2.0,1.0,15.0,0.0,1.0,0.0
1.0,1.0,15.0,0.0,1.0,13.0
2.0,1.0,43.0,2.0,15.0,6.0
0.0,1.0,30.0,2.0,15.0,6.0
2.0,1.0,43.0,2.0,15.0,14.0
1.0,1.0,44.8,2.0,15.0,0.0
1.0,1.0,47.4,3.0,15.0,14.0
2.0,1.0,31.0,2.0,15.0,17.0
3.0,1.0,43.0,2.0,41.0,23.0
3.0,1.0,26.0,2.0,7.0,22.0
4.0,1.0,33.0,2.0,15.0,23.0
2.0,1.0,32.0,1.0,44.0,23.0
0.0,1.0,9.0,10.0,15.0,23.0
0.0,1.0,10.0,8.0,15.0,22.0
0.0,1.0,39.0,0.0,121.0,23.0
2.0,1.0,87.0,2.0,15.0,23.0
1.0,1.0,27.0,2.0,44.0,5.0
0.0,2.0,27.0,0.0,15.0,14.0
0.0,1.0,92.0,4.0,15.0,14.0
3.0,1.0,92.0,2.0,1.0,22.0
1.0,1.0,92.0,0.0,44.0,14.0
1.0,2.0,8.0,12.0,15.0,14.0
1.0,1.0,92.0,2.0,44.0,0.0
0.0,1.0,92.0,0.0,41.0,14.0
0.0,2.0,32.0,8.0,44.0,14.0
0.0,1.0,64.0,1.0,15.0,14.0
1.0,1.0,57.0,1.0,7.0,14.0
1.0,1.0,60.0,1.0,15.0,14.0
0.0,1.0,85.0,0.0,44.0,22.0
1.0,1.0,85.0,2.0,15.0,14.0
0.0,2.0,66.0,2.0,15.0,14.0
2.0,1.0,54.0,2.0,15.0,22.0
1.0,1.0,67.0,0.0,15.0,22.0
1.0,1.0,27.0,2.0,15.0,14.0
2.0,2.0,33.0,8.0,15.0,14.0
1.0,2.0,53.0,0.0,7.0,14.0
0.0,2.0,45.0,0.0,1.0,0.0
1.0,1.5,77.0,2.0,41.0,14.0
2.0,1.0,40.0,8.0,15.0,14.0
2.0,1.0,82.0,0.0,15.0,14.0
1.0,1.0,13.0,2.0,15.0,22.0
0.0,1.0,18.0,0.0,1.0,22.0
0.0,1.0,5.0,0.0,1.0,0.0
2.0,1.0,2.0,0.0,1.0,0.0
1.0,1.0,15.0,1.0,15.0,0.0
1.0,1.0,38.0,2.0,44.0,23.0
2.0,1.0,44.0,0.0,15.0,23.0
1.0,1.0,21.0,2.0,15.0,22.0
1.0,1.0,44.0,2.0,15.0,0.0
3.0,1.0,44.0,2.0,41.0,23.0
1.0,1.0,44.0,2.0,44.0,14.0
3.0,1.0,33.0,2.0,15.0,14.0
0.0,1.0,45.0,0.0,44.0,22.0
0.0,2.0,38.0,8.0,44.0,23.0
0.0,1.0,15.0,0.0,1.0,22.0
0.0,1.0,14.0,0.0,1.0,22.0
1.0,1.0,38.0,2.0,44.0,17.0
0.0,1.0,38.0,2.0,21.0,17.0
1.0,1.0,38.0,2.0,41.0,23.0
4.0,1.0,43.0,2.0,21.0,23.0
1.0,1.0,77.0,2.0,7.0,0.0
0.0,1.0,77.0,2.0,7.0,0.0
1.0,1.0,77.0,0.0,44.0,23.0
2.0,1.0,92.0,0.0,21.0,0.0
1.0,2.0,19.0,0.0,15.0,0.0
2.0,2.0,20.0,4.0,7.0,0.0
0.0,1.0,30.0,8.0,1.0,14.0
1.0,1.0,60.0,0.0,7.0,0.0
1.0,1.0,77.0,2.0,7.0,0.0
1.0,1.0,62.0,1.0,15.0,14.0
