status,number_of_stories,age,roof_mwfrs_enc,wall_cladding_enc,roof_system_enc,roof_cover_enc,foundation_type,wall_structure,soffit_type,large_door_present
1.0,1.0,43.0,16.0,16.0,65.0,117.0,7.0,28.0,3.0,0.0
0.0,1.0,45.0,16.0,169.0,62.0,6.0,7.0,28.0,4.0,0.0
0.0,1.0,45.0,16.0,16.0,62.0,121.0,7.0,28.0,3.0,0.0
4.0,1.0,9.0,16.0,16.0,91.0,8.0,7.0,21.0,5.0,0.0
2.0,1.0,52.0,16.0,10.0,67.0,19121.0,7.0,17.0,3.0,0.0
1.0,1.0,31.0,16.0,15.0,67.0,121.0,7.0,6.0,1.0,0.0
2.0,1.0,37.0,16.0,1510.0,910.0,117.0,7.0,3.0,0.0,0.0
2.0,1.0,42.0,16.0,1610.0,8.0,15.0,7.0,17.0,1.0,0.0
4.0,1.0,47.0,16.0,15.0,910.0,117.0,7.0,6.0,1.0,0.0
2.0,3.0,9.0,16.0,16.0,62.0,121.0,7.0,3.0,1.0,0.0
4.0,2.0,31.0,16.0,161519.0,910.0,117.0,7.0,3.0,1.0,0.0
4.0,1.5,48.0,16.0,1610.0,91.0,11712.0,7.0,6.0,1.0,0.0
2.0,1.0,48.0,4.0,1615.0,90.0,117.0,7.0,6.0,4.0,0.0
3.0,1.0,6.0,16.0,1627.0,62.0,6.0,8.0,28.0,3.0,1.0
1.0,1.0,6.0,16.0,16.0,62.0,6.0,8.0,28.0,4.0,1.0
3.0,1.5,6.0,16.0,169.0,62.0,6.0,8.0,28.0,4.0,1.0
3.0,2.0,2.0,16.0,1614.0,62.0,6.0,8.0,28.0,4.0,1.0
4.0,2.0,2.0,16.0,1623.0,62.0,6.0,8.0,28.0,4.0,1.0
0.0,1.0,20.0,16.0,15.0,90.0,121.0,8.0,6.0,1.0,1.0
3.0,1.0,33.6,4.0,15.0,90.0,117.0,7.0,6.0,1.0,0.0
3.0,1.0,21.0,4.0,15.0,9091.0,117.0,7.0,3.0,1.0,0.0
3.0,1.0,31.0,4.0,1510.0,9091.0,121.0,7.0,20.0,1.0,0.0
1.0,1.0,9.0,4.0,10.0,91091.0,117.0,7.0,17.0,1.0,0.0
3.0,1.0,12.0,16.0,16.0,62.0,6.0,8.0,28.0,4.0,1.0
1.0,1.0,12.0,16.0,16.0,62.0,6.0,8.0,28.0,3.0,1.0
1.0,1.0,12.0,16.0,1610.0,62.0,6.0,8.0,28.0,4.0,1.0
2.0,1.0,12.0,16.0,1614.0,62.0,19.0,8.0,28.0,4.0,1.0
1.0,1.0,20.0,16.0,10.0,62.0,6.0,8.0,28.0,4.0,1.0
1.0,1.0,20.0,16.0,10.0,62.0,6.0,8.0,28.0,4.0,1.0
2.0,1.0,20.0,16.0,10.0,62.0,6.0,8.0,28.0,4.0,1.0
1.0,9.0,37.0,13.0,10.0,8.0,15.0,8.0,17.0,1.0,0.0
2.0,13.0,33.0,13.0,10.0,908.0,121.0,8.0,17.0,1.0,0.0
1.0,2.0,11.0,13.0,10.0,6267.0,19.0,8.0,28.0,1.0,0.0
3.0,1.0,40.0,13.0,10.0,90.0,26.0,8.0,5.0,1.0,0.0
3.0,1.0,35.0,13.0,1610.0,62.0,19121.0,8.0,20.0,1.0,0.0
3.0,2.0,26.0,13.0,15.0,910.0,121.0,8.0,6.0,1.0,0.0
3.0,3.0,0.0,16.0,15.0,62.0,121.0,8.0,28.0,1.0,0.0
4.0,2.0,62.0,16.0,16.0,62.0,121.0,8.0,25.0,1.0,0.0
1.0,1.0,82.0,13.0,10.0,8.0,25.0,8.0,17.0,1.0,0.0
4.0,2.0,108.0,13.0,10.0,8.0,25.0,8.0,17.0,1.0,0.0
1.0,1.0,33.0,13.0,10.0,8.0,22.0,8.0,17.0,3.0,0.0
3.0,1.0,39.0,4.0,10.0,91.0,117.0,8.0,17.0,1.0,0.0
0.0,1.0,61.0,4.0,1617.0,3.0,117.0,7.0,27.0,1.0,0.0
3.0,1.0,38.0,4.0,1617.0,91.0,117.0,7.0,27.0,1.0,0.0
2.0,2.0,10.0,4.0,1617.0,91.0,19.0,7.0,28.0,1.0,0.0
1.0,1.0,33.6,4.0,1617.0,910.0,117.0,7.0,28.0,1.0,0.0
1.0,2.0,6.0,4.0,919.0,910.0,19.0,7.0,28.0,4.0,0.0
4.0,1.0,35.0,4.0,16.0,62.0,121.0,7.0,28.0,4.0,0.0
1.0,2.0,11.0,16.0,10.0,62.0,121.0,7.0,28.0,3.0,1.0
1.0,2.0,9.8,16.0,919.0,67.0,121.0,7.0,28.0,4.0,1.0
1.0,2.0,13.0,16.0,23.0,67.0,121.0,7.0,28.0,3.0,0.0
1.0,2.0,2.0,3.0,23.0,3.0,121.0,7.0,28.0,3.0,1.0
0.0,2.0,3.0,16.0,0.0,62.0,121.0,7.0,28.0,4.0,1.0
1.0,1.0,1.0,16.0,23.0,65.0,121.0,7.0,28.0,3.0,1.0
1.0,2.0,43.0,16.0,919.0,62.0,121.0,5.0,10.0,4.0,0.0
4.0,2.0,35.0,16.0,23.0,65.0,121.0,7.0,34.0,3.0,0.0
4.0,1.0,38.0,16.0,37.0,65.0,121.0,7.0,35.0,3.0,0.0
1.0,8.0,17.0,3.0,10.0,3.0,121.0,7.0,27.0,3.0,0.0
2.0,1.0,73.6,16.0,34.0,65.0,25.0,7.0,17.0,3.0,0.0
2.0,3.0,12.0,16.0,23.0,62.0,121.0,7.0,28.0,3.0,1.0
2.0,1.0,16.0,16.0,1623.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,5.0,16.0,16.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,12.0,16.0,16.0,62.0,6.0,7.0,28.0,4.0,1.0
1.0,1.0,12.0,16.0,1629.0,62.0,6.0,7.0,28.0,4.0,1.0
3.0,1.0,7.0,16.0,1614.0,62.0,19.0,8.0,28.0,4.0,1.0
2.0,1.0,3.0,16.0,1623.0,62.0,6.0,8.0,28.0,4.0,1.0
2.0,1.0,21.0,16.0,10.0,62.0,6.0,8.0,28.0,4.0,1.0
2.0,1.0,20.0,16.0,10.0,62.0,6.0,8.0,28.0,4.0,1.0
4.0,2.0,118.0,16.0,9.0,65.0,25.0,12.0,28.0,3.0,0.0
4.0,2.0,33.0,16.0,14.0,65.0,121.0,12.0,28.0,1.0,0.0
4.0,2.0,33.0,16.0,9.0,67.0,121.0,12.0,28.0,3.0,0.0
4.0,2.0,15.0,16.0,10.0,62.0,121.0,0.0,17.0,3.0,0.0
2.0,3.0,12.0,16.0,10.0,62.0,25.0,0.0,17.0,4.0,0.0
2.0,1.0,21.0,16.0,10.0,65.0,10.0,13.0,28.0,4.0,0.0
2.0,3.0,0.0,16.0,0.0,62.0,121.0,0.0,28.0,1.0,0.0
4.0,1.0,32.0,16.0,37.0,65.0,27.0,0.0,28.0,3.0,0.0
4.0,1.0,48.0,16.0,9.0,67.0,19.0,12.0,28.0,5.0,0.0
2.0,3.0,5.0,4.0,23.0,62.0,121.0,13.0,28.0,4.0,0.0
4.0,1.0,48.0,16.0,0.0,65.0,121.0,7.0,28.0,3.0,0.0
1.0,1.0,4.0,13.0,10.0,3.0,0.0,7.0,17.0,1.0,1.0
4.0,2.0,30.0,16.0,0.0,62.0,121.0,7.0,28.0,3.0,0.0
0.0,1.0,32.0,16.0,0.0,65.0,19.0,12.0,28.0,1.0,0.0
1.0,1.0,30.0,16.0,0.0,62.0,19.0,7.0,28.0,5.0,0.0
1.0,2.0,4.0,16.0,23.0,62.0,121.0,8.0,28.0,4.0,0.0
4.0,1.0,34.0,16.0,0.0,62.0,117121.0,8.0,28.0,3.0,0.0
4.0,1.0,48.0,16.0,0.0,62.0,121.0,7.0,28.0,3.0,0.0
4.0,1.0,51.0,16.0,23.0,62.0,121.0,7.0,28.0,3.0,0.0
2.0,1.0,31.0,16.0,23.0,62.0,19.0,7.0,17.0,1.0,1.0
1.0,1.0,87.0,16.0,9.0,62.0,121.0,14.0,27.0,3.0,0.0
0.0,1.0,46.0,16.0,16.0,62.0,19.0,7.0,28.0,3.0,0.0
1.0,1.0,10.0,16.0,23.0,62.0,19.0,7.0,28.0,4.0,0.0
2.0,1.0,33.0,16.0,16.0,65.0,117.0,7.0,28.0,5.0,1.0
3.0,2.0,44.0,16.0,23.0,6762.0,19.0,7.0,28.0,4.0,0.0
4.0,1.0,44.0,16.0,15.0,65.0,117.0,7.0,28.0,1.0,0.0
4.0,1.0,3.0,4.0,915.0,91.0,121.0,7.0,5.0,1.0,0.0
1.0,2.0,74.0,16.0,23.0,62.0,19.0,7.0,28.0,3.0,0.0
2.0,2.0,88.0,16.0,27.0,62.0,6.0,7.0,28.0,5.0,0.0
1.0,1.0,108.0,16.0,23.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,34.0,16.0,1627.0,62.0,6.0,7.0,28.0,4.0,1.0
2.0,1.0,102.0,16.0,23.0,62.0,117121.0,7.0,28.0,4.0,0.0
0.0,1.0,41.0,16.0,16.0,65.0,6.0,7.0,28.0,3.0,0.0
2.0,1.0,93.0,16.0,23.0,65.0,121.0,7.0,28.0,4.0,0.0
2.0,1.0,19.0,16.0,23.0,65.0,6.0,7.0,28.0,3.0,0.0
2.0,2.0,18.0,16.0,23.0,65.0,121.0,7.0,28.0,4.0,0.0
4.0,2.0,33.0,16.0,23.0,67.0,117.0,7.0,28.0,3.0,0.0
3.0,2.0,33.0,16.0,16100.0,65.0,117.0,7.0,28.0,3.0,0.0
1.0,1.0,41.0,16.0,160.0,62.0,19.0,7.0,28.0,5.0,0.0
3.0,1.0,34.0,16.0,160.0,62.0,19.0,7.0,28.0,5.0,1.0
3.0,3.0,29.0,16.0,10.0,62.0,121.0,7.0,28.0,5.0,0.0
3.0,1.0,31.0,16.0,160.0,62.0,6.0,7.0,28.0,5.0,1.0
3.0,1.0,31.0,16.0,16.0,62.0,19.0,7.0,28.0,3.0,1.0
4.0,1.0,34.0,16.0,16.0,62.0,19.0,7.0,28.0,3.0,1.0
3.0,1.0,33.0,16.0,16.0,62.0,19.0,7.0,28.0,3.0,1.0
2.0,2.0,12.0,16.0,1623.0,67.0,6.0,7.0,28.0,4.0,1.0
0.0,1.0,16.0,16.0,10.0,62.0,6.0,7.0,28.0,5.0,1.0
0.0,1.0,15.0,16.0,10.0,62.0,6.0,7.0,28.0,5.0,1.0
3.0,1.0,29.0,16.0,1614.0,62.0,19.0,7.0,28.0,4.0,1.0
3.0,2.0,45.0,16.0,1623.0,62.0,19.0,7.0,28.0,4.0,1.0
3.0,2.0,32.0,16.0,10.0,62.0,19.0,7.0,28.0,3.0,1.0
2.0,2.0,39.0,16.0,1623.0,62.0,19.0,7.0,28.0,4.0,1.0
2.0,2.0,18.0,16.0,0.0,65.0,6.0,12.0,27.0,5.0,0.0
4.0,1.0,54.0,16.0,16.0,3.0,19.0,7.0,28.0,5.0,0.0
4.0,2.0,31.0,16.0,14.0,3.0,121.0,7.0,27.0,3.0,0.0
4.0,2.0,34.0,16.0,16.0,65.0,14.0,7.0,27.0,3.0,0.0
4.0,1.0,40.0,16.0,16.0,3.0,94.0,7.0,21.0,3.0,0.0
2.0,1.0,6.0,16.0,0.0,6762.0,117.0,7.0,28.0,4.0,0.0
4.0,1.0,47.0,16.0,16.0,65.0,10.0,7.0,28.0,5.0,0.0
4.0,2.0,35.0,16.0,27.0,67.0,121.0,7.0,28.0,5.0,0.0
4.0,2.0,34.0,16.0,27.0,65.0,121.0,7.0,28.0,4.0,0.0
4.0,2.0,53.0,16.0,16.0,3.0,19.0,7.0,27.0,3.0,0.0
4.0,1.0,54.0,16.0,16.0,62.0,6.0,7.0,25.0,3.0,0.0
4.0,1.0,52.0,16.0,1614.0,65.0,19.0,7.0,28.0,3.0,1.0
4.0,1.0,63.0,16.0,37.0,65.0,19.0,7.0,17.0,3.0,0.0
2.0,1.0,16.0,16.0,23.0,62.0,121.0,0.0,28.0,4.0,0.0
4.0,2.0,35.0,16.0,37.0,65.0,121.0,7.0,28.0,3.0,0.0
4.0,2.0,34.0,16.0,14.0,62.0,6.0,7.0,28.0,4.0,0.0
4.0,1.0,34.0,16.0,23.0,65.0,19121.0,7.0,28.0,3.0,0.0
